SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1002.55,1022.40,1002.55,1014.55,1013.00,997.70,1535,6695,6789631.00,
500003,AEGIS LOGIS ,B ,Q,100.40,102.20,96.00,97.05,97.05,99.60,315,28192,2795018.00,
500008,AMAR RAJA BA,A ,Q,874.50,891.00,851.10,861.45,861.45,876.30,7096,95795,83275768.00,
500009,A.SARABHAI  ,XD,Q,6.79,6.79,6.00,6.26,6.20,6.52,21,17694,111518.00,
500010,HDFC        ,A ,Q,1180.00,1192.85,1166.50,1177.35,1175.25,1179.50,4249,64477,76159096.00,
500012,ANDHRA PETRO,XC,Q,13.14,13.35,12.96,13.00,13.00,13.28,82,42636,561051.00,
500013,ANSAL INFRAS,B ,Q,18.50,18.75,18.00,18.05,18.10,18.60,181,27325,499102.00,
500014,APPLE FINANC,XD,Q,2.36,2.52,2.30,2.50,2.50,2.48,28,11885,29291.00,
500020,BOM DYEING  ,B ,Q,53.70,54.40,51.60,52.00,52.00,53.50,953,181009,9607657.00,
500024,ASSAMCO     ,B ,Q,5.75,5.75,5.42,5.44,5.44,5.70,328,316885,1748347.00,
500027,ATUL LTD.   ,A ,Q,1458.60,1514.40,1458.60,1495.85,1495.85,1447.60,699,3154,4691240.00,
500028,ATV PROJECTS,XT,Q,8.00,8.66,8.00,8.15,8.13,8.34,32,26931,220490.00,
500029,AUTOLITE(I) ,B ,Q,58.00,58.80,55.50,56.05,55.85,57.00,94,7075,406550.00,
500031,BAJAJ ELECT.,A ,Q,187.15,189.10,177.55,178.45,178.70,186.20,1943,64749,11947123.00,
500032,BAJAJHIND   ,B ,Q,17.35,17.80,16.60,16.75,16.75,17.25,1417,817749,14160639.00,
500033,FORCE MOTR  ,B ,Q,2794.00,2804.00,2658.00,2679.00,2679.00,2772.00,7079,76945,210248364.00,
500034,BAJFINANCE  ,A ,Q,6029.00,6050.00,5792.15,5829.55,5829.55,6019.15,1451,6658,39488775.00,
500038,BALRAM.CHINI,A ,Q,93.75,95.00,89.80,90.75,89.90,92.90,3902,442038,41144405.00,
500039,BANCO PROD. ,B ,Q,124.80,127.00,123.40,123.50,123.50,123.60,217,12468,1549745.00,
500040,CENTURY TEXT,A ,Q,531.95,535.55,500.00,503.30,503.30,525.50,5006,183838,94636120.00,
500041,BANNARI AMAN,B ,Q,1120.00,1125.00,1120.00,1125.00,1125.00,1100.00,5,26,29190.00,
500042,BASF INDIA  ,B ,Q,791.30,799.90,783.00,794.25,794.25,783.45,434,4658,3690261.00,
500043,BATA INDIA  ,A ,Q,468.80,470.20,453.00,454.20,454.20,468.80,1921,32501,14937564.00,
500048,BEML LTD    ,A ,Q,1030.00,1074.95,1030.00,1042.90,1042.90,1049.20,2367,22896,24229386.00,
500049,BHARAT ELECT,A ,Q,1234.00,1247.00,1213.70,1220.75,1220.75,1230.85,1415,12398,15298979.00,
500051,BHAG GAS    ,Z ,Q,0.96,0.96,0.96,0.96,0.96,1.01,2,140,134.00,
